Entity,Code,Year,Oil yield (t/ha)
Coconut Oil,,2018,0.257734855
Cottonseed Oil,,2018,0.141688097
Groundnut Oil,,2018,0.183447482
Olive Oil,,2018,0.339773356
Palm Oil,,2018,2.83508826
Rape and Mustard Oil,,2018,0.651035267
Sesameseed Oil,,2018,0.106947799
Soybean Oil,,2018,0.448316166
Sunflowerseed Oil,,2018,0.713066044
