Entity,Code,Year,Area needed to meet global vegetable oil demand (ha)
Coconut Oil,,2018,846691846.8
Cottonseed Oil,,2018,1540157608
Groundnut Oil,,2018,1189561162
Olive Oil,,2018,642257540.6
Palm Oil,,2018,76971854.14
Rape and Mustard Oil,,2018,335192286.7
Sesameseed Oil,,2018,2040453390
Soybean Oil,,2018,486759159.5
Sunflowerseed Oil,,2018,306033363.5
