,date,updated_at,price
177,13 January 2022,Midday,1342.5
178,12 January 2022,Closing,1315.0
179,12 January 2022,Midday,1335.0
180,11 January 2022,Closing,1330.0
181,11 January 2022,Midday,1325.0
182,10 January 2022,Closing,1325.0
183,5 January 2022,Midday,1335.0
184,4 January 2022,Closing,1315.0
185,4 January 2022,Midday,1315.0
186,3 January 2022,Midday,1320.0
187,31 December 2021,Closing,1285.0
188,31 December 2021,Midday,1287.5
189,30 December 2021,Closing,1282.5
190,30 December 2021,Midday,1290.0
191,29 December 2021,Closing,1290.0
192,29 December 2021,Middday,1300.0
193,28 December 2021,Closing,1310.0
194,28 December 2021,Midday,1275.0
195,27 December 2021,Closing,1275.0
196,27 December 2021,Midday,1285.0
197,24 December 2021,Midday,1280.0
198,23 December 2021,Closing,1250.0
199,23 December 2021,Midday,1245.0
200,22 December 2021,Closing,1242.5
201,22 December 2021,Midday,1245.0
202,21 December 2021,Closing,1225.0
203,21 December 2021,Midday,1225.0
204,20 December 2021,Closing,1205.0
205,20 December 2021,Midday,1215.0
206,17 December 2021,Midday,1245.0
207,16 December 2021,Closing,1220.0
208,16 December 2021,Midday,1240.0
209,15 December 2021,Closing,1230.0
210,15 December 2021,Midday,1230.0
211,14 December 2021,Closing,1290.0
212,13 December 2021,Closing,1310.0
213,13 December 2021,Midday,1320.0
214,10 December 2021,Closing,1310.0
215,6 December 2021,Closing,1315.0
216,6 December 2021,Midday,1325.0
217,2 December 2021,Closing,1305.0
218,2 December 2021,Midday,1300.0
219,1 December 2021,Closing,1315.0
220,1 December 2021,Midday,1305.0
221,30 November 2021,Closing,1305.0
222,30 November 2021,Midday,1315.0
223,29 November 2021,Closing,1325.0
224,29 November 2021,Midday,1335.0
225,26 November 2021,Closing,1330.0
226,26 November 2021,Midday,1345.0
227,25 November 2021,Closing,1350.0
228,25 November 2021,Midday,1355.0
229,24 November 2021,Midday,1345.0
230,23 November 2021,Closing,1340.0
231,23 November 2021,Midday,1355.0
232,22 November 2021,Closing,1367.5
233,22 November 2021,Midday,1357.5
234,19 November 2021,Closing,1370.0
235,19 November 2021,Midday,1370.0
236,18 November 2021,Closing,1370.0
237,18 November 2021,Midday,1350.0
238,17 November 2021,Midday,1360.0
239,16 November 2021,Closing,1365.0
240,16 November 2021,Midday,1375.0
241,15 November 2021,Closing,1370.0
242,15 November 2021,Midday,1365.0
243,12 November 2021,Closing,1370.0
244,12 November 2021,Midday,1370.0
245,8 July 2022,Closing,1110.0
246,8 July 2022,Midday,1120.0
247,7 July 2022,Closing,1120.0
248,7 July 2022,Midday,1120.0
249,6 July 2022,Closing,1085.0
250,6 July 2022,Midday,1065.0
251,5 July 2022,Closing,1180.0
252,5 July 2022,Midday,1200.0
253,4 July 2022,Closing,1240.0
254,4 July 2022,Midday,1280.0
255,11 November 2021,Closing,1360.0
256,11 November 2021,Midday,1370.0
257,10 November 2021,Closing,1365.0
258,10 November 2021,Midday,1355.0
259,5 November 2021,Midday,1360.0
260,3 November 2021,Closing,1385.0
261,3 November 2021,Midday,1375.0
262,2 November 2021,Closing,1380.0
263,2 November 2021,Midday,1352.5
264,1 November 2021,Closing,1370.0
265,1 November 2021,Midday,1375.0
266,29 October 2021,Closing,1375.0
267,29 October 2021,Midday,1370.0
268,28 October 2021,Closing,1335.0
269,28 October 2021,Midday,1335.0
270,27 October 2021,Closing,1355.0
271,27 October 2021,Midday,1355.0
272,26 October 2021,Closing,1360.0
273,26 October 2021,Midday,1370.0
274,25 October 2021,Closing,1345.0
275,25 October 2021,Midday,1350.0
276,22 October 2021,Closing,1335.0
277,22 October 2021,Midday,1325.0
278,21 October 2021,Closing,1340.0
279,21 October 2021,Midday,1395.0
280,20 October 2021,Closing,1360.0
281,20 October 2021,Midday,1360.0
282,18 October 2021,Closing,1325.0
283,18 October 2021,Midday,1317.5
284,15 October 2021,Closing,1310.0
285,15 October 2021,Midday,1325.0
286,14 October 2021,Closing,1315.0
287,14 October 2021,Midday,1325.0
288,13 October 2021,Closing,1350.0
289,13 October 2021,Midday,1315.0
290,12 October 2021,Closing,1305.0
291,12 October 2021,Midday,1305.0
292,11 October 2021,Closing,1325.0
293,11 October 2021,Midday,1320.0
294,6 October 2021,Closing,1300.0
295,6 October 2021,Midday,1300.0
296,5 October 2021,Closing,1270.0
297,5 October 2021,Midday,1265.0
298,4 October 2021,Closing,1235.0
299,4 October 2021,Midday,1225.0
300,1 October 2021,Closing,1205.0
301,1 October 2021,Midday,1220.0
302,30 September 2021,Closing,1235.0
303,30 September 2021,Midday,1220.0
304,29 September 2021,Closing,1210.0
305,29 September 2021,Midday,1190.0
306,28 September 2021,Closing,1205.0
307,28 September 2021,Midday,1190.0
308,27 September 2021,Closing,1190.0
309,27 September 2021,Midday,1205.0
310,24 September 2021,Closing,1197.5
311,24 September 2021,Midday,1200.0
312,23 September 2021,Closing,1200.0
313,23 September 2021,Midday,1185.0
314,22 September 2021,Closing,1175.0
315,22 September 2021,Midday,1170.0
316,21 September 2021,Closing,1155.0
317,21 September 2021,Midday,1145.0
318,20 September 2021,Closing,1172.5
319,20 September 2021,Midday,1182.5
320,17 September 2021,Closing,1175.0
321,17 September 2021,Midday,1180.0
322,15 September 2021,Closing,1197.5
323,15 September 2021,Midday,1197.5
324,14 September 2021,Closing,1190.0
325,14 September 2021,Midday,1190.0
326,13 September 2021,Closing,1185.0
327,13 September 2021,Midday,1190.0
328,10 September 2021,Closing,1190.0
329,8 September 2021,Midday,1185.0
330,7 September 2021,Closing,1180.0
331,7 September 2021,Midday,1185.0
332,6 September 2021,Closing,1175.0
333,6 September 2021,Midday,1180.0
334,3 September 2021,Closing,1170.0
335,3 September 2021,Midday,1185.0
336,2 September 2021,Closing,1145.0
337,2 September 2021,Midday,1155.0
338,1 September 2021,Closing,1145.0
339,1 September 2021,Midday,1155.0
340,30 August 2021,Closing,1165.0
341,30 August 2021,Midday,1175.0
342,27 August 2021,Closing,1165.0
343,27 August 2021,Midday,1175.0
344,26 August 2021,Closing,1175.0
345,26 August 2021,Midday,1170.0
346,25 August 2021,Closing,1170.0
347,25 August 2021,Midday,1160.0
348,24 August 2021,Closing,1150.0
349,24 August 2021,Midday,1150.0
350,23 August 2021,Closing,1170.0
351,23 August 2021,Midday,1155.0
352,20 August 2021,Closing,1160.0
353,20 August 2021,Midday,1160.0
354,19 August 2021,Closing,1160.0
355,19 August 2021,Midday,1175.0
356,18 August 2021,Closing,1180.0
357,18 August 2021,Midday,1170.0
358,17 August 2021,Closing,1190.0
359,17 August 2021,Midday,1194.0
360,16 August 2021,Closing,1180.0
361,16 August 2021,Midday,1185.0
362,13 August 2021,Closing,1165.0
363,13 August 2021,Midday,1145.0
364,12 August 2021,Closing,1170.0
365,12 August 2021,Midday,1177.5
366,11 August 2021,Closing,1185.0
367,11 August 2021,Midday,1157.5
368,9 August 2021,Closing,1125.0
369,9 August 2021,Midday,1137.5
370,6 August 2021,Closing,1145.0
371,6 August 2021,Midday,1140.0
372,5 August 2021,Closing,1155.0
373,5 August 2021,Midday,1155.0
374,4 August 2021,Closing,1150.0
375,4 August 2021,Midday,1140.0
376,3 August 2021,Closing,1120.0
377,3 August 2021,Midday,1130.0
378,2 August 2021,Closing,1112.5
379,2 August 2021,Midday,1125.0
380,30 Jul 2021,Closing,1157.5
381,30 Jul 2021,Midday,1165.0
382,29 Jul 2021,Closing,1165.0
383,29 Jul 2021,Midday,1150.0
384,28 Jul 2021,Closing,1145.0
385,28 Jul 2021,Midday,1155.0
386,27 Jul 2021,Closing,1160.0
