,0,price
0,3 June 2022,1695
1,3 June 2022,1690
2,2 June 2022,1695
3,2 June 2022,1695
4,1 June 2022,1690
5,1 June 2022,1680
6,31 May 2022,1690
7,31 May 2022,1710
8,30 May 2022,1710
